City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sao vicente,-23.9631,-46.3919,23.57,66,0,0.75,BR,1727323687
1,beni mellal,32.3373,-6.3498,22.64,33,18,0.65,MA,1727323688
2,vadso,70.0744,29.7487,10.09,93,75,1.03,NO,1727323688
3,college,64.8569,-147.8028,6.99,87,75,2.57,US,1727323688
4,invercargill,-46.4,168.35,9.45,85,100,2.68,NZ,1727323416
5,port-aux-francais,-49.35,70.2167,3.17,70,81,11.9,TF,1727323446
6,isafjordur,66.0755,-23.124,1.7,64,61,1.02,IS,1727323689
7,grytviken,-54.2811,-36.5092,-1.86,90,37,5.2,GS,1727323689
8,verdal,63.7933,11.4817,7.4,88,100,4.92,NO,1727323689
9,albany,42.6001,-73.9662,14.8,79,100,1.34,US,1727323668
10,graham,47.0529,-122.2943,13.4,92,75,6.69,US,1727323689
11,kontagora,10.3999,5.4695,23.38,88,89,1.55,NG,1727323690
12,bethel,41.3712,-73.414,16.98,86,100,1.54,US,1727323690
13,hawaiian paradise park,19.5933,-154.9731,25.73,83,100,2.06,US,1727323690
14,hachinohe,40.5,141.5,22.1,83,75,4.12,JP,1727323690
15,waitangi,-43.9535,-176.5597,9.9,73,59,2.24,NZ,1727323690
16,windhoek,-22.5594,17.0832,21.35,35,92,0.45,NA,1727323691
17,tiksi,71.6872,128.8694,2.02,92,63,3.45,RU,1727323691
18,edinburgh of the seven seas,-37.0676,-12.3116,13.51,88,100,8.21,SH,1727323691
19,arraial do cabo,-22.9661,-42.0278,22.75,88,1,14.34,BR,1727323541
20,alo,6.5486,4.2686,23.49,92,98,1.41,NG,1727323691
21,iqaluit,63.7506,-68.5145,3.72,86,64,1.79,CA,1727323691
22,hopelchen,19.7667,-89.85,24.06,97,100,1.95,MX,1727323692
23,atafu village,-8.5421,-172.5159,28.54,71,38,3.35,TK,1727323692
24,pesaro,43.9036,12.8903,22.19,72,27,3.89,IT,1727323692
25,tual,-5.6667,132.75,27.55,80,30,6.73,ID,1727323692
26,natal,-5.795,-35.2094,23.36,83,20,1.54,BR,1727323693
27,awjilah,29.1081,21.2869,23.56,75,0,5.37,LY,1727323693
28,adamstown,-25.066,-130.1015,20.65,91,93,7.91,PN,1727323693
29,aasiaat,68.7098,-52.8699,-0.46,84,37,3.82,GL,1727323693
30,fale old settlement,-9.3852,-171.2468,28.4,73,57,3.57,TK,1727323694
31,pathein,16.7833,94.7333,29.6,74,99,2.04,MM,1727323694
32,stanley,54.868,-1.6985,10.16,97,100,9.77,GB,1727323491
33,langsa,4.4683,97.9683,23.26,97,100,2.25,ID,1727323531
34,thompson,55.7435,-97.8558,14.02,78,100,4.33,CA,1727323694
35,shingu,33.7333,135.9833,25.34,81,86,2.9,JP,1727323695
36,jalai nur,49.45,117.7,17.64,39,94,7.48,CN,1727323695
37,weno,7.4515,151.8468,30.97,74,100,2.06,FM,1727323695
38,lebu,-37.6167,-73.65,5.91,83,100,5.08,CL,1727323695
